Shift,Strength
785.77759,1731.9205
787.21832,1764.251
788.65906,1813.2992
790.09973,1897.476
791.54047,1915.7328
792.98114,2044.8519
794.42188,2010.4738
795.86255,1968.9355
797.30328,1940.6354
798.74402,1896.8035
800.18469,1847.4296
801.62543,1966.4825
803.0661,1985.91
804.50684,2106.2686
805.94757,2125.6421
807.38824,2050.1733
808.82898,1954.3307
810.26965,1881.0912
811.71039,1798.8694
813.15106,1821.3903
814.5918,1790.1915
816.03253,1714.0431
817.47321,1673.7837
818.91394,1700.9946
820.35461,1705.9309
821.79535,1711.371
823.23608,1693.0309
824.67676,1731.3431
826.11749,1706.6949
827.55817,1655.1643
828.9989,1668.7511
830.43958,1670.7708
831.88031,1652.1948
833.32104,1693.5103
834.76172,1696.7886
836.20245,1694.6831
837.64313,1709.7732
839.08386,1726.037
840.52454,1723.9452
841.96527,1728.5985
843.40601,1722.6566
844.84668,1712.3519
846.28741,1699.6799
847.72809,1705.4497
849.16882,1739.9731
850.60956,1712.0017
852.05023,1666.9329
853.49097,1661.0327
854.93164,1688.8793
856.37238,1715.5531
857.81305,1721.723
859.25378,1719.5736
860.69452,1729.7308
862.13519,1727.5592
863.57593,1669.1038
865.0166,1653.2191
866.45734,1667.4489
867.89807,1689.4825
869.33875,1714.967
870.77948,1638.642
872.22015,1700.9672
873.66089,1719.522
875.10156,1737.5237
876.5423,1752.2529
877.98303,1751.4025
879.42371,1738.0652
880.86444,1720.8022
882.30511,1737.0554
883.74585,1695.6158
885.18652,1676.5536
886.62726,1710.2207
888.06799,1744.7694
889.50867,1713.3983
890.9494,1723.2852
892.39008,1736.9052
893.83081,1714.0034
895.27155,1729.9736
896.71222,1738.3263
898.15295,1717.7816
899.59363,1701.235
901.03436,1685.7042
902.47504,1703.5884
903.91577,1732.3159
905.35651,1700.2803
906.79718,1661.9017
908.23792,1688.7542
909.67859,1769.4763
911.11932,1752.4299
912.56006,1710.6724
914.00073,1716.2744
915.44147,1749.5366
916.88214,1731.425
918.32288,1700.6516
919.76355,1708.9811
921.20428,1684.67
922.64502,1703.4802
924.08569,1722.8785
925.52643,1687.5648
926.9671,1710.4852
928.40784,1743.9042
929.84851,1727.5691
931.28925,1713.9851
932.72998,1734.6588
934.17065,1653.7063
935.61139,1678.4041
937.05206,1700.0953
938.4928,1724.0844
939.93353,1735.3311
941.37421,1696.1437
942.81494,1698.1746
944.25562,1713.9431
945.69635,1743.0469
947.13702,1723.1403
948.57776,1699.7123
950.01849,1697.8042
951.45917,1715.8534
952.8999,1753.5015
954.34058,1727.5883
955.78131,1713.428
957.22205,1718.3367
958.66272,1694.8597
960.10345,1670.2733
961.54413,1677.6167
962.98486,1708.4653
964.42554,1747.0957
965.86627,1767.2109
967.30701,1707.8127
968.74768,1714.2277
970.18842,1701.5812
971.62909,1683.636
973.06982,1710.1815
974.5105,1694.7729
975.95123,1769.115
977.39197,1733.4467
978.83264,1677.4492
980.27338,1688.0663
981.71405,1716.09
983.15479,1703.4982
984.59552,1668.5785
