86  Sr  [ He ] 	,Tested	,129.471472945	,278.62136596	,321.665403381	,536.224846275	,129.302183589	,90.8508623467	,199.83013174	,0.0244987086105	,280.584482224	,127.770842086	,318.979521134	,500.739973023	,84.8466619894	,183.496998842	,119.857249446	,0.0520614779538	,251.567261125	,298.680536643	,469.553061978	,115.523799603	,
	,Real	,129.471472945	,279.694117656	,323.065269275	,537.852596199	,129.471472945	,90.865526481	,199.894032886	,0.0245554391485	,282.432141915	,129.471472945	,326.195382378	,517.905892511	,88.9309625156	,195.184167461	,129.471472945	,0.057061474483	,279.308202744	,334.710515409	,528.216177572	,129.471472945	,
88  Sr  [ He ] 	,Tested	,149.924128896	,326.817119221	,381.7030633	,639.091995994	,151.839321577	,101.405000345	,226.620758031	,0.0360546424731	,334.773600125	,152.496102213	,389.654092421	,600.754867807	,93.7581562999	,213.088077304	,142.923861817	,0.0594929016441	,301.66908771	,356.520409875	,568.839243949	,139.517537606	,
	,Real	,149.924128896	,327.532608782	,381.424348138	,635.017545479	,149.924128896	,99.5718029348	,221.659587726	,0.0352176927203	,327.531743108	,149.924128896	,386.223362578	,602.12142269	,95.2679817046	,219.908567732	,149.924128896	,0.063355733106	,325.323555536	,387.34902349	,617.86760009	,149.924128896	,
89  Y  [ He ] 	,Tested	,12.6846653865	,31.6188234888	,22.885270186	,17.375202255	,12.6879294341	,21.0603297444	,24.1713138571	,0.000745224932784	,31.8509705289	,12.63657115	,22.8330063103	,16.1166892319	,19.4220951232	,22.3647353518	,11.8537462929	,0.00417344740525	,28.3014477177	,20.8821479642	,14.9956017441	,11.5138856307	,
	,Real	,12.6846653865	,31.7831601327	,23.0128902516	,17.4295561412	,12.6846653865	,20.9915465978	,24.0506254323	,0.000741738505112	,31.7924271964	,12.6846653865	,23.1162581825	,16.4990177391	,20.1514735043	,23.5569669694	,12.6846653865	,0.00453239384765	,31.1262296624	,23.154417388	,16.6507419211	,12.6846653865	,
90  Zr  [ He ] 	,Tested	,158.573318172	,176.460309853	,163.370479839	,221.112684469	,162.48275935	,223.320806955	,568.243453119	,0.0473843843477	,180.922044183	,162.304089661	,164.790024946	,205.172524963	,209.65953174	,547.554328743	,150.464572642	,0.119422543212	,160.972561541	,149.127907901	,196.525555507	,147.626698615	,
	,Real	,158.573318172	,175.982804795	,161.87962306	,217.380693799	,158.573318172	,216.714024692	,549.632207349	,0.0458255405857	,175.549461273	,158.573318172	,162.69150037	,205.307469589	,213.18994299	,566.710875382	,158.573318172	,0.127920235989	,174.66718283	,162.896227845	,214.155300481	,158.573318172	,
93  Nb  [ He ] 	,Tested	,7.3892739911	,10.5330858352	,15.5601038549	,11.8933764473	,7.43285121553	,7.90558003727	,23.1038402745	,0.000689758234747	,10.5348460412	,7.37544028391	,15.3538356241	,10.8299383919	,7.25549559115	,21.0670217904	,6.77568785237	,0.00395074646278	,9.3832152078	,13.8538099022	,10.424247936	,6.60466149957	,
	,Real	,7.3892739911	,10.577658575	,15.6068951852	,11.8799874275	,7.3892739911	,7.82909845832	,22.8377778133	,0.000682494532613	,10.4699259316	,7.3892739911	,15.5648753586	,11.1450819163	,7.6012178561	,22.5114457325	,7.3892739911	,0.00438900284228	,10.5820145701	,15.7542048714	,11.8357099619	,7.3892739911	,
95  Mo  [ He ] 	,Tested	,33.2667032146	,259.156254173	,3.4452427179	,1.95556791665	,33.5202128754	,2.58111538666	,2.60111835811	,0.0129623216675	,244.426598212	,33.5103663087	,3.42089790179	,1.78108895425	,2.16454747392	,1.89843277802	,30.4633070629	,0.0653776020764	,211.873821975	,3.28856693707	,1.68752652161	,30.0051893976	,
	,Real	,33.2667032146	,260.869847395	,3.46353249996	,1.9546270016	,33.2667032146	,2.54544118333	,2.55460635368	,0.0127219214482	,240.723676282	,33.2667032146	,3.43903675929	,1.82063988957	,2.25780498859	,2.02545469428	,33.2667032146	,0.0728962614898	,240.075719889	,3.75313068166	,1.91459883111	,33.2667032146	,
101  Ru  [ He ] 	,Tested	,0.00970022761327	,0.00826958209453	,0.00628020244324	,0.00822848647537	,0.003803859812	,0.00414103082669	,0.00567127237124	,0.00323340920442	,0.00261053494343	,0.0015215439248	,0.00521024284567	,0.00450608758062	,0.00300531367147	,0.0022566974929	,0.00190218663445	,0.00209216568467	,0.00229653949279	,0.00266677206231	,0.00152413833293	,0.000951093317223	,
	,Real	,0.00970022761327	,0.0102599043207	,0.00983970725304	,0.0164378845825	,0.00970022761327	,0.0134393591715	,0.0232471436032	,0.0161950398473	,0.0152501908026	,0.00970022761327	,0.0338520715081	,0.0282531151054	,0.0176196507476	,0.0122695175618	,0.00970022761327	,0.0103040571942	,0.011419150924	,0.0143384630126	,0.00995628072743	,0.00970022761327	,
103  Rh  [ He ] 	,Tested	,0.00189689285389	,0.0013979067063	,0.00126067509341	,0.00145724141644	,0.000868073534074	,0.000890872595068	,0.00191725144292	,0.0	,0.00138689538083	,0.000707327748335	,0.000503301819731	,0.00120606787889	,0.00127006059311	,0.00247979855712	,0.00112527836403	,0.000225061459191	,0.00109977770283	,0.00122356562648	,0.00173910739942	,0.00064304100681	,
	,Real	,0.00189689285389	,0.00169837726766	,0.00188019488706	,0.00265723333914	,0.00189689285389	,0.00225687188433	,0.00537714811451	,0.0	,0.00397595241956	,0.00189689285389	,0.00122525092582	,0.00263788656324	,0.00250338389521	,0.00446817351746	,0.00189689285389	,0.000366894261764	,0.00180875951205	,0.00215646424686	,0.00361515424047	,0.00189689285389	,
105  Pd  [ He ] 	,Tested	,0.0427815566999	,0.0534816595423	,0.051305065909	,0.0542131176463	,0.023731326515	,0.0277990937202	,0.0401125634467	,0.000161542349225	,0.0465307125986	,0.0224400046245	,0.0385399015586	,0.0404788253151	,0.0184939660639	,0.0405480840659	,0.0219553775768	,0.00064573358121	,0.063348467356	,0.0365396333969	,0.0501309208616	,0.0180811213615	,
	,Real	,0.0427815566999	,0.06508829533	,0.0740803539663	,0.0893430636276	,0.0427815566999	,0.0528296259162	,0.0780601052561	,0.000315176305707	,0.0899338876773	,0.0427815566999	,0.0725937459638	,0.0757867127687	,0.0347181445487	,0.077121702136	,0.0427815566999	,0.00130127608938	,0.133151107121	,0.0803922900725	,0.115125220651	,0.0427815566999	,
107  Ag  [ He ] 	,Tested	,0.170577607154	,0.0950746963559	,0.116176065496	,0.140801869521	,0.12107093934	,0.165493764653	,0.280733973355	,0.00286235191848	,0.0876989630763	,0.114031399607	,0.10922877976	,0.125515438585	,0.147713757659	,0.271293429955	,0.109498108168	,0.00298169707533	,0.0842436243704	,0.105595145114	,0.151021557458	,0.106754886756	,
	,Real	,0.170577607154	,0.107367251911	,0.144864000947	,0.188878204227	,0.170577607154	,0.240397597576	,0.414919301227	,0.00426418132576	,0.131034538706	,0.170577607154	,0.163714685055	,0.188965339089	,0.224153436823	,0.416476547956	,0.170577607154	,0.00471822233904	,0.135279662243	,0.17122303809	,0.244915265048	,0.170577607154	,
